answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
44,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Peter-Weseley,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406010504April 16, 2018 at 4:27:35 AM",Vitreoretinal Surgeon1993–present   ;MD from Tulane University School of MedicineGraduated 1987   ;Lives in New York City   ;1.2M content views25.3K this month   ;Joined February 2017,America,until I got sick and couldn’t find anyone to take care of me),290
44,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Peter-Weseley,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406010504April 16, 2018 at 4:27:35 AM",Vitreoretinal Surgeon1993–present   ;MD from Tulane University School of MedicineGraduated 1987   ;Lives in New York City   ;1.2M content views25.3K this month   ;Joined February 2017,America," and the bureaucracy could declare victory, having conquered the scourges of physician burnout and death by medical error.",291
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Michael-Keyes-14,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,,Physician burnout is a significant problem not only for doctors but for their patients.,292
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Michael-Keyes-14,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,, Burnout is not depression but it can lead to it and is much more prevalent than either anxiety or depression in the physician population.,293
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Michael-Keyes-14,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,," Burnout is defined as lack of enthusiasm for work, a low sense of personal…",294
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Michael-Keyes-14,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,,(,295
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Michael-Keyes-14,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,,more),296
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,That’s a great idea.,297
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America," Doctors are worn out by the innumerable mandates they have to put up with, so another is exactly what they need.",298
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,,299
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,God save us from people trying to improve medicine from the outside!,300
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,,301
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,"You know what would decrease anxiety, depression and burnout?",302
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",Wilk-Dedwylder,https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America, Leave us the hell alone and let us practice medicine.,303
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece,One is the fact that scientists are not eager to answer the life or death questios: 1.,304
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece, IS there human fecal dust* in hospital wards?,305
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece,2,306
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece," Is it or not a threat for the patients, from the point of view of the HA Infection, knowing that “A single gram of human feces—which is about the weight of a paper c…",307
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece,(,308
47,What are the biggest problems facing the Medical Field?,Zisis-Kontogounis,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece,more),309
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America,A lot of doctors complain that they don’t have time to do good medicine with their patients.,310
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America, There is a lot of doctor burnout.,311
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America, Look at what this new anti-opioid war on pain patients is doing to doctors.,312
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America, Some are getting prosecuted.,313
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America, Some are dreading seeing patients commit suicide becasue of uncontro…,314
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America,(,315
48,What are the biggest problems facing the Medical Field?,Fred-Davis-7,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America,more),316
49,What are the biggest problems facing the Medical Field?,Torry-Bavuso,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America,The current problems in medicine in the US can all be traced back to the issue of payment.,317
49,What are the biggest problems facing the Medical Field?,Torry-Bavuso,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America," In less developed cultures, medicine is usually available to cure/ treat most of the pressing problems, but the populace is too poor to afford it.",318
49,What are the biggest problems facing the Medical Field?,Torry-Bavuso,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America," If persons only seek medical care when in extremis, as in the e…",319
49,What are the biggest problems facing the Medical Field?,Torry-Bavuso,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America,(,320
49,What are the biggest problems facing the Medical Field?,Torry-Bavuso,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America,more),321
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America,There’s some creative team building and stress reduction stuff that’s out there but really I see a variation of two issues 1.,322
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America, Too many patients/hours - bad for patient care and bad for work life balance.,323
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America, Very good for billing which doesn’t care about either.,324
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America,2,325
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America, Way too much time doing busywork instead of cl…,326
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America,(,327
50,What can hospitals do to help minimize physician burnout?,Vin-Taleder,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America,more),328
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,"Trainings and on job trainings for implementing new procedures, policies, equipement.",329
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,,330
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,Daily breaks to get support from more senior colleagues.,331
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,,332
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,having a coach to talk to.,333
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,,334
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,having relaxation rooms in which they can do that just relax (,335
51,What can hospitals do to help minimize physician burnout?,Silvia-Calzada,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,," games , TV, manicure pedicure , massage chairs , good coffe)",336
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India,The arrangements between hospitals and physicians as also surgeons (,337
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India,clinicians),338
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India, are several.,339
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India, Most arrangements the clinicians subject themselves to excess work when actually fatigue is detrimental to both clinician and hospital.,340
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India," Firstly, clinicians must recognize the presence of fatigue, stress, burn…",341
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India,(,342
52,What can hospitals do to help minimize physician burnout?,Dr-Ravikumar-Modali,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India,more),343
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Physician burnout is an ongoing problem in hospitals.,344
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America, Burned-out doctors have a negative impact on the care a hospital provides.,345
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America, So it’s an issue that healthcare executives must address at their facilities.,346
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America, Here I want to share 5 keys to reducing physician burnout:,347
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Acknowledge the problem so it can be addressed,348
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Use effective leaders to engage physicians in the process,349
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Develop and implement targeted changes,350
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Create a sense of community for clinicians,351
53,What can hospitals do to help minimize physician burnout?,Sunil-Nihalani-6,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,Use rewards and incentives,352
54,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Howard-Robinson-20,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843657744September 19, 2019 at 10:46:21 PM","Author1973–present   ;Certified by the ABPS in Plastic Surgery Residency, University of Illinois at Chicago College of Medicine   ;Lives in Miami   ;1.2M content views17.6K this month   ;Joined April 2017",America,Physicians are loosing the personal relationship with their patients.,353
