序号,问题,地址,用户名,回答时间,用户介绍,国籍信息,回答内容
83,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Dana-McCracken,"#897046759November 9, 2019 at 8:31:44 AM",44.6K content views1.1K this month   ;Joined March 2017,,For all of them to ensure that the patient records from one place is forwarded to all the doctors that need that information to help clints.
84,Why do urologists report such a high rate of stress and burnout?,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,Jeanine-Joy,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,"Why do urologists re…
First,le
t
′
sjustputitouttherethatemotionscanbecontagious,
especiallyifthepersondoes
n
′
tknowhowtovaccinatethemselvesagainstnegativeemotionalcontagions.
F
First, let’s just put it out there that emotions can be contagious, especially if the person doesn’t know how to vaccinate themselves against negative emotional contagions.
Now, let’s look at w…
… (view more)"
85,Why do urologists report such a high rate of stress and burnout?,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,Jessica-Brown-2127,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana,"High rates of unecessary surgeries. It’d It’s a quantity not quality based system that profits on botched surgeries and harm. Anyone would suspect this outcomes. will cause burnout over time
… (view more)"
86,Why do urologists report such a high rate of stress and burnout?,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,Barbara-Markham,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,"Actually less than the top five specialties that are the most burned out. If you actually read the article, it tells you wny why - more time at work, less at home.home. Urologists in general do not have large groups with a lot of backup. They are actually few and far between, especially in certain areas so they are seeing a ton of patients that cannot be seen elsewhere.
… (view more)"
87,Why do urologists report such a high rate of stress and burnout?,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,Nathan-Ketsdever,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,"Being a doctor versu…
I think the larger question this data presents is what are the core stresses of doctors overall.
The larger question is why isn’t the emergency medicine higher on the list. I’m curious if this points to the fact that people self-select and that you eventually adjust to certain stresses in the work environment.
Urology is actually pretty low on the list, in the lower 25% of the feelings of stress.
… (view more)"
88,"Has there been any point in a doctor’s life where they were tired of working as a doctor, and got depression, etc? Did you ever regret studying to become a doctor?",https://www.quora.com/Has-there-been-any-point-in-a-doctor%E2%80%99s-life-where-they-were-tired-of-working-as-a-doctor-and-got-depression-etc-Did-you-ever-regret-studying-to-become-a-doctor,Duncan-Coolidge-1,"#331547347November 17, 2017 at 5:29:53 AM","Former practicing physician1979–2010   ;Studied Internal Medicine & Intensive CareGraduated 1979   ;Lives in East Andover, NH1981–present   ;2.3M content views47.9K this month   ;Joined March 2017",America,"At one point in my career I was spread too thin and had too many clinical responsibilities beyond my practice. My ability to function efficiently was impaired and I was seriously depressed. It required a period of time away from practice and resigning from other the other responsibilities. Did I eve…
(more)"
89,"Has there been any point in a doctor’s life where they were tired of working as a doctor, and got depression, etc? Did you ever regret studying to become a doctor?",https://www.quora.com/Has-there-been-any-point-in-a-doctor%E2%80%99s-life-where-they-were-tired-of-working-as-a-doctor-and-got-depression-etc-Did-you-ever-regret-studying-to-become-a-doctor,Brandi-375,"#331355818November 16, 2017 at 9:07:59 PM","Former Retired Surgeon, Likes cars, history,and languages   ;Studied at The University of Pennsylvania (UPenn)   ;3.4M content views38.5K this month   ;Active in 6 Spaces   ;Joined September 2016",,"Yes to the “tired” no to the depression… when it was no longer fun anymore or emotionally rewarding , I retired… moved on.. no regrets!"
90,"Has there been any point in a doctor’s life where they were tired of working as a doctor, and got depression, etc? Did you ever regret studying to become a doctor?",https://www.quora.com/Has-there-been-any-point-in-a-doctor%E2%80%99s-life-where-they-were-tired-of-working-as-a-doctor-and-got-depression-etc-Did-you-ever-regret-studying-to-become-a-doctor,Alex-Gomberg-2,"#331324308November 16, 2017 at 7:36:55 PM",Physical Therapist at UPRIGHT Tech. Ltd.   ;Studied Physical Therapy at Tel Aviv University   ;Lives in Israel   ;43.7K content views255 this month   ;Joined October 2017,Israel,"A co-worker from our company, who currently works as an iOS developer started his programming career after 1.5 years of work as a clinical psychiatrist. He has never regretted becoming a doctor, but after the first year on the job he was really depressed and burned out. Job simply did not give him a feeling of pleasure and excitement, so he decided to try something new and found himself developing mobile applications."
91,"Has there been any point in a doctor’s life where they were tired of working as a doctor, and got depression, etc? Did you ever regret studying to become a doctor?",https://www.quora.com/Has-there-been-any-point-in-a-doctor%E2%80%99s-life-where-they-were-tired-of-working-as-a-doctor-and-got-depression-etc-Did-you-ever-regret-studying-to-become-a-doctor,Janet-McKenzie-1,"#332067477November 18, 2017 at 10:11:33 AM","BSN, MBA, ND, Canadian1961–present   ;Studied at UBC, Queen's, CCNM   ;Lives in Toronto, ON   ;28.2M content views488.3K this month   ;Published WriterMedical Daily   ;Active in 16 Spaces   ;Joined September 2012",Canada,"“Has there been any point in a doctor’s life where they were tired of working as a doctor, and got depression, etc? Did you ever regret studying to become a doctor?”
No regrets. Not that it hasn’t been difficult at times, but it’s all been worth it.
I’m vulnerable to depression, especially if I’m burned out. I burned out as a nurse, but have actively managed my stress and my mood since then to prevent it from happening again. I also took a long break from healthcare, did an MBA, and worked for a bank, before going back to school to study naturopathic medicine.
When you take on a career like medicine, which will push you to grow in every way possible, you have to be self-aware and protect your own health. You can’t help others effectively if you are messed up."
92,Why do doctors quit emergency medicine?,https://www.quora.com/Why-do-doctors-quit-emergency-medicine,Drohan-Gechand,"#625262141February 28, 2019 at 11:45:08 PM","General Physician In Mumbai & Thane at Self Employed/Private Practice   ;Lives in Mumbai, Maharashtra, India   ;1.1M content views27.6K this month   ;Joined September 2014",India,"1. I never practiced emergency medicine. 2. However, I had plans to pursue Accident and Emergency Medicine. 3. But later on, I dropped those plans. I will explain why I dropped my plans. 1. You cannot have an independent setup of your own because it's very expensive to deploy one. Emergency medicine departments can…
(more)"
93,Why do doctors quit emergency medicine?,https://www.quora.com/Why-do-doctors-quit-emergency-medicine,Lou-Davis,"#625089451February 28, 2019 at 8:08:18 PM","Works at Emergency Medicine   ;Lives in Derbyshire, UK   ;19.6M content views127.3K this month   ;Top Writer2018, 2017, 2016, 2015, 2014 and 1 more   ;Published WriterFatherly, HuffPost, Slate and 1 more   ;Active in 7 Spaces   ;Joined October 2011",England,"Because it’s relentless. In few other disciplines is there an influx of patients 24 hours a day, seven days a week, 365 days of the year. The work is hard; dealing with a largely undifferentiated and undiagnosed group of patients constantly is stressful. The demands on the service are increasing on an…
(more)"
94,Why do doctors quit emergency medicine?,https://www.quora.com/Why-do-doctors-quit-emergency-medicine,Bill-Durkin-7,"#625415877March 1, 2019 at 2:54:54 AM","Past President at American Academy of Emergency Medicine2012–present   ;MBA from The University of TennesseeGraduated 2008   ;Lives in Alexandria, VA   ;112K content views2.2K this month   ;Joined February 2018",America,"There are many reasons. Some grow tired of night shifts, others leave because of the constant demands to see more patients and keep everyone satisfied-even those who are there seeking drugs or otherwise abusing the system. Working nights, holidays and weekends gets old for some. Practicing in a “fis…
(more)"
95,Why do doctors quit emergency medicine?,https://www.quora.com/Why-do-doctors-quit-emergency-medicine,Maya-Cassis,"#990084791February 12, 2020 at 8:47:01 PM","Clinic   ;Studied at Kasturba Medical College, Mangalore   ;Lived in Mangalore, India   ;270.5K content views4.7K this month   ;Active in 2 Spaces   ;Joined November 2014",India,"I quit because of the extreme levels of stress, bullying by patients and family, hard intense work conditions, lack of sleep, lack of social life, poor pay, pathetic accommodation provided for female duty doctors, no time to eat or take care of your basic needs."
96,Why do doctors quit emergency medicine?,https://www.quora.com/Why-do-doctors-quit-emergency-medicine,Marjorie-Chenichene,"#1109642927June 14, 2020 at 12:55:09 PM",Emergency Medicine Specialist   ;1.4K content views69 this month   ;Active in 1 Space   ;Joined June 2020,,"Exhaustion. Maybe not fitted to be there anyway. EM practice is tough, one must really like the work to stay in it."
